Date,Open,High,Low,Close,Adj Close,Volume
1975-04-01,12.914063,12.968750,12.804688,12.882813,4.167688,872000
1975-04-02,12.882813,12.984375,12.718750,12.734375,4.119668,1056000
1975-04-03,12.734375,12.765625,12.375000,12.375000,4.003407,1393600
1975-04-04,12.375000,12.531250,12.328125,12.375000,4.003407,1400000
1975-04-07,12.375000,12.398438,12.265625,12.367188,4.000880,668800
1975-04-08,12.421875,12.593750,12.421875,12.593750,4.074176,787200
1975-04-09,12.640625,13.156250,12.640625,13.093750,4.235932,1595200
1975-04-10,13.093750,13.281250,12.937500,13.007813,4.208128,1660800
1975-04-11,12.890625,12.890625,12.593750,12.812500,4.144943,1558400
1975-04-14,12.812500,13.093750,12.796875,13.093750,4.235932,793600
1975-04-15,13.093750,13.250000,12.968750,13.093750,4.235932,1315200
1975-04-16,13.093750,13.296875,12.984375,13.296875,4.301642,1156800
1975-04-17,13.296875,13.585938,13.265625,13.281250,4.296588,1659200
1975-04-18,13.281250,13.304688,13.000000,13.085938,4.233402,1041600
1975-04-21,13.140625,13.453125,13.140625,13.359375,4.321860,894400
1975-04-22,13.359375,13.484375,13.187500,13.242188,4.283951,745600
1975-04-23,13.234375,13.234375,13.000000,13.000000,4.205600,980800
1975-04-24,13.000000,13.062500,12.890625,12.929688,4.182854,1139200
1975-04-25,12.929688,13.125000,12.820313,12.875000,4.165164,872000
1975-04-28,12.875000,12.937500,12.656250,12.656250,4.094397,1120000
1975-04-29,12.656250,12.750000,12.500000,12.640625,4.089341,1236800
1975-04-30,12.640625,13.125000,12.609375,13.117188,4.243513,1099200
1975-05-01,13.117188,13.281250,12.976563,13.078125,4.230876,1110400
1975-05-02,13.078125,13.171875,12.875000,12.976563,4.198018,1121600
1975-05-05,12.976563,13.437500,12.890625,13.359375,4.321860,1195200
1975-05-06,13.359375,13.429688,13.046875,13.109375,4.240984,1305600
1975-05-07,13.109375,13.281250,13.031250,13.273438,4.294060,1008000
1975-05-08,13.218750,13.218750,13.031250,13.109375,4.271153,745600
1975-05-09,13.156250,13.406250,13.156250,13.406250,4.367876,1112000
1975-05-12,13.453125,13.671875,13.453125,13.500000,4.398423,1555200
1975-05-13,13.515625,13.968750,13.515625,13.968750,4.551143,1976000
1975-05-14,13.968750,14.210938,13.937500,13.968750,4.551143,1958400
1975-05-15,13.968750,14.148438,13.500000,13.593750,4.428967,1713600
1975-05-16,13.593750,13.703125,13.515625,13.539063,4.411145,976000
1975-05-19,13.539063,13.703125,13.406250,13.687500,4.459509,801600
1975-05-20,13.687500,13.750000,13.500000,13.500000,4.398423,886400
1975-05-21,13.500000,13.531250,13.250000,13.296875,4.332241,1363200
1975-05-22,13.296875,13.500000,13.296875,13.375000,4.357696,846400
